area,stories,price
5300,1,2233000
3000,1,2135000
2400,2,2100000
3000,2,2100000
3360,1,2100000
3420,2,1960000
1700,2,1890000
3649,1,1890000
2990,1,1855000
3000,1,1820000
2400,1,1767150
3620,1,1750000
2910,1,1750000
3850,2,1750000
